id,value,feed_id,created_at,lat,lon,ele
0FRJYNP5CBZZT6E6N42NXR7NFA,99.2422,2888024,2024-12-09 17:48:06 UTC,,,
0FRJYQ2T6DDWFDKC6JYE8GFHQX,99.082,2888024,2024-12-09 17:50:33 UTC,,,
0FRJYSTGW7529W8X6MK0FTYX3W,98.9258,2888024,2024-12-09 17:55:20 UTC,,,
0FRJYXYF0XQ98K0A6K0NAVVQPZ,98.6094,2888024,2024-12-09 18:02:33 UTC,,,
0FRJZ0SQW06A4B08MRWRTTZ8PD,98.4492,2888024,2024-12-09 18:07:32 UTC,,,
0FRJZ3HDDNW0N1R9B76VNWKQQE,98.293,2888024,2024-12-09 18:12:19 UTC,,,
0FRJZ697BW40JSJDK6B7F7ZV57,98.1328,2888024,2024-12-09 18:17:07 UTC,,,
0FRJZ911TN814RY0N8PPSSG86K,97.9766,2888024,2024-12-09 18:21:54 UTC,,,
0FRJZBNTQ1HW6083GN8Y4YN3TY,97.9766,2888024,2024-12-09 18:26:32 UTC,,,
0FRJZEDN9DVG52JATSJ4QZSEEK,97.9766,2888024,2024-12-09 18:31:20 UTC,,,
0FRJZH5D38KVY7QJ650Y5HDCHG,97.8164,2888024,2024-12-09 18:36:08 UTC,,,
0FRJZKX91SP6EM2ZRQ0VT935M7,97.6602,2888024,2024-12-09 18:40:56 UTC,,,
0FRJZPHXKGQEH1EKRTNEWXXX1C,97.6602,2888024,2024-12-09 18:45:33 UTC,,,
0FRJZS9Q8SD0PH3XRAPEZVZGVW,97.6602,2888024,2024-12-09 18:50:21 UTC,,,
0FRJZVYGSNMJKCXH9CT9HMQJ8G,97.6602,2888024,2024-12-09 18:54:58 UTC,,,
0FRJZYK6NCB1WE82TN1H7DGJEN,97.6602,2888024,2024-12-09 18:59:36 UTC,,,
0FRK01B0YJ9XGVQJ5YFV37V54W,97.6602,2888024,2024-12-09 19:04:24 UTC,,,
0FRK042X7WAYMTZ0117M3XG2NH,97.5,2888024,2024-12-09 19:09:12 UTC,,,
0FRK06W7080Z63MTFWXAJ9K2TF,97.5,2888024,2024-12-09 19:14:04 UTC,,,
0FRK0AWXD7PR2DM9BPGF9R38T4,97.5,2888024,2024-12-09 19:21:06 UTC,,,
0FRK0G7Z1GG8J289CAP2ZMTTKB,97.5,2888024,2024-12-09 19:30:27 UTC,,,
0FRK0Q0F2QYF2HD0Y5S57HBM75,97.3438,2888024,2024-12-09 19:42:16 UTC,,,
0FRK0V5W77Q4A3Q0CQFGR0FC4Q,97.3438,2888024,2024-12-09 19:49:33 UTC,,,
0FRK0Z9HZB3X03MZQR89GYHY64,97.3438,2888024,2024-12-09 19:56:45 UTC,,,
0FRK1376NJ50CDC8E173PCF522,97.3438,2888024,2024-12-09 20:03:36 UTC,,,
0FRK15Z0RQTX4F8V42F29WHEF0,97.3438,2888024,2024-12-09 20:08:24 UTC,,,
0FRK18PR1SMRNPJ1SWXBBRARTY,97.3438,2888024,2024-12-09 20:13:12 UTC,,,
0FRK1BEJAJVHJK5FYP04M130S1,97.3438,2888024,2024-12-09 20:17:59 UTC,,,
0FRK1E08RQNVWD4ATR4H6PK8SW,97.3438,2888024,2024-12-09 20:22:27 UTC,,,
0FRK1GSN96CZXY4B8WSKVXYZ1G,97.3438,2888024,2024-12-09 20:27:20 UTC,,,
0FRK1NE7W5TWZ8KCJXZBAKXCY2,97.3438,2888024,2024-12-09 20:35:27 UTC,,,
0FRK1R6M6GNS2M1YPWRKMQ3ZS9,97.3438,2888024,2024-12-09 20:40:16 UTC,,,
0FRK1WAGFYM4FPX8VNZ4TJNN94,97.3438,2888024,2024-12-09 20:47:29 UTC,,,
0FRK1Z2B587YKJT8XDW4DYW8NS,97.3438,2888024,2024-12-09 20:52:16 UTC,,,
0FRK239GRY63GW77N8YY7WH2Y8,97.3438,2888024,2024-12-09 20:59:39 UTC,,,
0FRK27ACBZC0R9RFZR7RCG2SY5,97.3438,2888024,2024-12-09 21:06:42 UTC,,,
0FRK2BB21JSEZN00NJFD15WFXS,97.3438,2888024,2024-12-09 21:13:43 UTC,,,
0FRK2F8TY3X57MHEF8NH5M2GY0,97.3438,2888024,2024-12-09 21:20:35 UTC,,,
0FRK2J0P6YEWMKPVYNV0A4FV5N,97.3438,2888024,2024-12-09 21:25:23 UTC,,,
0FRK2MJHWQS594T9P7NQNRHRG9,97.3438,2888024,2024-12-09 21:29:52 UTC,,,
0FRK2Q7BKPS2CJJ1P1Z01G0EWK,97.3438,2888024,2024-12-09 21:34:29 UTC,,,
0FRK2SZGAV63WXTS19V28QDHE7,97.3438,2888024,2024-12-09 21:39:18 UTC,,,
0FRK2WH2NDKESQJ0JK4QM854SS,97.3438,2888024,2024-12-09 21:43:46 UTC,,,
0FRK2Z2SXGEANBXQKPG9KZ1ZK4,97.3438,2888024,2024-12-09 21:48:13 UTC,,,
0FRK31MHCJVV9DKX98EKQD09H5,97.3438,2888024,2024-12-09 21:52:41 UTC,,,
0FRK346DZ2Z1HJANA7VV41EJE9,97.3438,2888024,2024-12-09 21:57:10 UTC,,,
0FRK36V7R20NWZ5TRN01ZJVMKY,97.3438,2888024,2024-12-09 22:01:47 UTC,,,
0FRK39K350ZFN4DQFBQBPK3Z51,97.3438,2888024,2024-12-09 22:06:35 UTC,,,
0FRK3C4Z1FVRMF0RVYHXE0D48G,97.3438,2888024,2024-12-09 22:11:04 UTC,,,
0FRK3EPP7Z1FTEH4P6ZWK73NTQ,97.3438,2888024,2024-12-09 22:15:31 UTC,,,
0FRK3HBGCGPYMP6K16SKSF8FT9,97.3438,2888024,2024-12-09 22:20:09 UTC,,,
0FRK3M235KKAMRJK14B1CCRX5N,97.3438,2888024,2024-12-09 22:24:53 UTC,,,
0FRK3PSXXG5432G02QP9QFJC2K,97.3438,2888024,2024-12-09 22:29:41 UTC,,,
0FRK3SHS5A5TPD1CZFWCSXDS68,97.3438,2888024,2024-12-09 22:34:29 UTC,,,
0FRK3W9S9D2MEQ258N257T81WC,97.3438,2888024,2024-12-09 22:39:17 UTC,,,
