id,value,feed_id,created_at,lat,lon,ele
0FQY550V84X8112EM8QFND53NW,-984.769,2888023,2024-11-13 21:29:29 UTC,,,
0FQY57NS841X3WCAFRRPDAZA0A,-2850.92,2888023,2024-11-13 21:34:08 UTC,,,
0FQY6GEHQ0JQCPN5X3KM3RM29C,186.0,2888023,2024-11-13 22:45:23 UTC,,,
0FQY6K3FAE7GXBCTHDWJEZ5CXC,1166370.0,2888023,2024-11-13 22:50:01 UTC,,,
0FQY6NR8HCC4V9C11TP8QZB11V,1166400.0,2888023,2024-11-13 22:54:39 UTC,,,
0FQY6RD5W0NW9DMNPZG6N8AX93,1166430.0,2888023,2024-11-13 22:59:17 UTC,,,
0FQY6V1YPPHMTK7VMSDJXT98F6,1166480.0,2888023,2024-11-13 23:03:55 UTC,,,
0FQY6XPWN7HZN0EED1SRS47YAR,1166620.0,2888023,2024-11-13 23:08:33 UTC,,,
0FQY70DAK0PA70WPVCRMRX34RQ,1166620.0,2888023,2024-11-13 23:13:17 UTC,,,
0FQY7323JESCM8KJ5RG7GA7Q0Y,1166500.0,2888023,2024-11-13 23:17:54 UTC,,,
0FQY75Q13FS1JVQ5051FHDNHMF,1166690.0,2888023,2024-11-13 23:22:33 UTC,,,
0FQY78BYHA1R4MBBR1PNF4TVDW,1166880.0,2888023,2024-11-13 23:27:11 UTC,,,
0FQY7B0QJKMHHFSKYWS71E2T0M,1166980.0,2888023,2024-11-13 23:31:49 UTC,,,
0FQY7DNMXPF712570SFQ7H3714,1167080.0,2888023,2024-11-13 23:36:27 UTC,,,
0FQY7GADW6B4ZZF1E4J4MR9DYR,1167240.0,2888023,2024-11-13 23:41:05 UTC,,,
0FQY7JZ92FWJMQSCTWXY225C67,1167360.0,2888023,2024-11-13 23:45:43 UTC,,,
0FQY7NJSX8F41W3E4RMKZZ8R3E,1167500.0,2888023,2024-11-13 23:50:17 UTC,,,
0FQY7R1F1WW6KJHTE38PZ73RZK,1167640.0,2888023,2024-11-13 23:54:34 UTC,,,
0FQY7TG4CH8P7HFS644C2QK9ZB,1167730.0,2888023,2024-11-13 23:58:52 UTC,,,
0FQY7X0A96E7J6R0N8NJRV582Z,1167860.0,2888023,2024-11-14 00:03:15 UTC,,,
0FQY7YAR5CJFNC47QHBDDE855Z,1167950.0,2888023,2024-11-14 00:05:34 UTC,,,
0FQY80ZBTY13WFENQ56RJ9SHXZ,1168160.0,2888023,2024-11-14 00:10:11 UTC,,,
0FQY83M9FTWA26R3KCMYQQY61E,1168290.0,2888023,2024-11-14 00:14:50 UTC,,,
0FQY86AQV32QMCEKJYVNKWESHQ,1168560.0,2888023,2024-11-14 00:19:33 UTC,,,
0FQY87N0WKHS5VV1X4V00RQFHK,1168600.0,2888023,2024-11-14 00:21:51 UTC,,,
0FQY8ABRR2WZDS6T2H6SNG5KTM,1168710.0,2888023,2024-11-14 00:26:36 UTC,,,
0FQY8D1YNDM5VE9867BSFRZ7Q6,1168980.0,2888023,2024-11-14 00:31:18 UTC,,,
0FQY8FT6190AF0RTRVWGKF11KQ,1169200.0,2888023,2024-11-14 00:36:07 UTC,,,
0FQY8H4M5XNQJ7SC3H8DYAVMAM,1169300.0,2888023,2024-11-14 00:38:26 UTC,,,
0FQY8KSDCGKTGK97TEY2D9GFFA,1169520.0,2888023,2024-11-14 00:43:04 UTC,,,
0FQY8PE1JSTXH3KVDTR5ZE72SZ,1169720.0,2888023,2024-11-14 00:47:41 UTC,,,
0FQY8S6A8ZN7JVZFZ73XK970N4,1169950.0,2888023,2024-11-14 00:52:31 UTC,,,
0FQY8VV789NFXC027QS2KG9846,1170150.0,2888023,2024-11-14 00:57:09 UTC,,,
0FQY8YG03GE9CSGA4G0GQ0M37F,1170350.0,2888023,2024-11-14 01:01:47 UTC,,,
0FQY914XAAV8ZGT5VMSZ88PYA3,1170600.0,2888023,2024-11-14 01:06:25 UTC,,,
0FQY92F69RSFRTVQQ1THZ06AKB,1170700.0,2888023,2024-11-14 01:08:43 UTC,,,
0FQY954AAG1QRBM765RYJVN4Z2,1170850.0,2888023,2024-11-14 01:13:22 UTC,,,
0FQY97S6Q01SXKF78258NR399A,1171100.0,2888023,2024-11-14 01:18:00 UTC,,,
0FQY9ADVM56FXK5PEESPE7XW0T,1171350.0,2888023,2024-11-14 01:22:38 UTC,,,
0FQY9EHMP6T2A5VHZ1P8E4XB1K,1171590.0,2888023,2024-11-14 01:29:50 UTC,,,
0FQY9H6J4JK48NZGVNHZQ0QR50,1171840.0,2888023,2024-11-14 01:34:28 UTC,,,
0FQY9KX14CX4FN0BNZHY7ZQRC6,1172120.0,2888023,2024-11-14 01:39:11 UTC,,,
0FQY9PHGAS3MAQPBJEXEW8T0W0,1172380.0,2888023,2024-11-14 01:43:48 UTC,,,
0FQY9S68G454ZQHFM23SV064S2,1172650.0,2888023,2024-11-14 01:48:26 UTC,,,
0FQY9VWX1ECFKG0A4H0J1GWH6Z,1172890.0,2888023,2024-11-14 01:53:10 UTC,,,
0FQY9YHGSTV8EZMJ06YBHW7NKP,1173140.0,2888023,2024-11-14 01:57:47 UTC,,,
0FQYA2JKF2RPDCJHK42E6CAB4W,1173560.0,2888023,2024-11-14 02:04:50 UTC,,,
0FQYA57C073QCP2B8BG89A4VC0,1173820.0,2888023,2024-11-14 02:09:28 UTC,,,
0FQYA7W4E56HJ5GT9TR308W04P,1174070.0,2888023,2024-11-14 02:14:06 UTC,,,
0FQYAAH71DAQZB9FAY7VEJH96Z,1174370.0,2888023,2024-11-14 02:18:44 UTC,,,
0FQYAD647NJ0BZBK8SNWK3P8A4,1174620.0,2888023,2024-11-14 02:23:23 UTC,,,
0FQYAEV4N3A0WK9XBJFKE5X13J,1174780.0,2888023,2024-11-14 02:26:16 UTC,,,
0FQYAHGQGVB8H4V04095GC8SSN,1175110.0,2888023,2024-11-14 02:30:57 UTC,,,
0FQYANK9DZBWQK4CANM4S98TZ2,1175510.0,2888023,2024-11-14 02:38:05 UTC,,,
0FQYAR86C08GXVEZ490H9DA92K,1175800.0,2888023,2024-11-14 02:42:43 UTC,,,
0FQYATWZ355P78RZST4CFVGR76,1176050.0,2888023,2024-11-14 02:47:21 UTC,,,
0FQYAXHQKY4QD0D9W0DACTY9TS,1176310.0,2888023,2024-11-14 02:51:58 UTC,,,
0FQYB06F688ATA1KEZVJ2SRNPB,1176590.0,2888023,2024-11-14 02:56:36 UTC,,,
0FQYB2VHR75EGYPSB2NJ696KNC,1176900.0,2888023,2024-11-14 03:01:15 UTC,,,
0FQYB5GFQPBEHGQ6JD6W3HQV0G,1177240.0,2888023,2024-11-14 03:05:53 UTC,,,
0FQYB6TXPHV1AMN5HXGMFKWEAM,1177420.0,2888023,2024-11-14 03:08:12 UTC,,,
0FQYB9FKCZ2M0ZXRW25MEVX0R6,1177750.0,2888023,2024-11-14 03:12:50 UTC,,,
0FQYBC4DV5PN9ZS999DD1SS3A6,1178050.0,2888023,2024-11-14 03:17:28 UTC,,,
0FQYBESB3HJJDFQMRQGDZ2G4V7,1178370.0,2888023,2024-11-14 03:22:06 UTC,,,
0FQYBK483X79MPXTA8RHTDN0YH,1178770.0,2888023,2024-11-14 03:29:41 UTC,,,
0FQYBNSAPWW4TQJZG4RHEJQBXA,1179100.0,2888023,2024-11-14 03:34:20 UTC,,,
0FQYBRDYGPDYJSH78CFZFPSAV4,1179390.0,2888023,2024-11-14 03:38:57 UTC,,,
0FQYBV30GTYMR1VPXTS8N063VN,1179640.0,2888023,2024-11-14 03:43:36 UTC,,,
0FQYBXQS94W92132281EN1XDVR,1179890.0,2888023,2024-11-14 03:48:14 UTC,,,
0FQYC0CJES82F57G5MQDWXP7PF,1180120.0,2888023,2024-11-14 03:52:51 UTC,,,
0FQYC31FTQT2HZ46QJW2KX3HTG,1180390.0,2888023,2024-11-14 03:57:30 UTC,,,
0FQYC5PDKRB0S3FRMJP4AHM0V5,1180650.0,2888023,2024-11-14 04:02:08 UTC,,,
