id,value,feed_id,created_at,lat,lon,ele
0FQ99HA6F5YS3ZMB12CESYMAPM,70.7984,2888025,2024-10-18 23:13:42 UTC,,,
0FQ99HMP1T4FPV56NCZGMHZVK2,70.8563,2888025,2024-10-18 23:14:16 UTC,,,
0FQ99J04EFGKKTVAHFS67K68ZF,70.9142,2888025,2024-10-18 23:14:54 UTC,,,
0FQ99JHD7VYFJ5W5BMC020MSCF,70.9528,2888025,2024-10-18 23:15:51 UTC,,,
0FQ99KAEHAHMR49V8JANZ25VK9,70.9914,2888025,2024-10-18 23:17:13 UTC,,,
0FQ99KKER33TEY4GQC532Q8490,70.9914,2888025,2024-10-18 23:17:42 UTC,,,
0FQ99KX6EGN5RGF952X6Y698V8,70.9914,2888025,2024-10-18 23:18:14 UTC,,,
0FQ99M6WR46CAQ8EEWTW8K65QZ,71.03,2888025,2024-10-18 23:18:46 UTC,,,
0FQ99MGNR6GQZP6MVWYBCCY0YP,71.0107,2888025,2024-10-18 23:19:18 UTC,,,
0FQ99MV6WBH51KP8C7SCYVSVJ6,71.0687,2888025,2024-10-18 23:19:52 UTC,,,
0FQ99N918W3N5W2PVCGX6VVJF5,71.0879,2888025,2024-10-18 23:20:38 UTC,,,
0FQ99PCSQ10SMJFH6V61DQM41P,71.0879,2888025,2024-10-18 23:22:35 UTC,,,
0FQ99PQAX33QPVXHE90A2QC1H5,71.0879,2888025,2024-10-18 23:23:09 UTC,,,
0FQ99Q0B29VZV15TEWFKDCXS2T,71.0687,2888025,2024-10-18 23:23:39 UTC,,,
0FQ99QB137FNNTV3TTDYTT02AM,71.0879,2888025,2024-10-18 23:24:14 UTC,,,
0FQ99QKWEJPN2PG51E7PXT3XZA,71.0879,2888025,2024-10-18 23:24:43 UTC,,,
0FQ99QWWQJAZSAVKR8X64AEMXP,71.0879,2888025,2024-10-18 23:25:12 UTC,,,
0FQ99R61VF3J1H81XHYQ0RF540,71.0687,2888025,2024-10-18 23:25:42 UTC,,,
0FQ99RK0KT1A1RZ7ZM3ZE8QXQY,71.0879,2888025,2024-10-18 23:26:25 UTC,,,
0FQ99S9G9TM6N9XCVVSRM6AY7R,71.0879,2888025,2024-10-18 23:27:39 UTC,,,
0FQ99SP5SS223GYZGZQQ4XEQ9G,71.1266,2888025,2024-10-18 23:28:20 UTC,,,
0FQ99T46QF3JH927TR4VNTVCD3,71.1266,2888025,2024-10-18 23:29:06 UTC,,,
0FQ99TFDY7TVSYE52QB41NXTJQ,71.1458,2888025,2024-10-18 23:29:43 UTC,,,
0FQ99TR4CSA26FG49SJS6X80DD,71.1266,2888025,2024-10-18 23:30:11 UTC,,,
0FQ99V3DW50G7R0XPJKBN4K4XW,71.1458,2888025,2024-10-18 23:30:48 UTC,,,
0FQ99VCK2WGSGWFXVPVVQHB10W,71.1458,2888025,2024-10-18 23:31:18 UTC,,,
0FQ99W0M6XSCQEF176CGVY58DP,71.1458,2888025,2024-10-18 23:32:24 UTC,,,
0FQ99WBRSZYMQTSB37B0N5HR35,71.1458,2888025,2024-10-18 23:33:01 UTC,,,
0FQ99WQCB340KVY56CSJVWKPK8,71.1652,2888025,2024-10-18 23:33:39 UTC,,,
0FQ99WQER67RYA990REZXWDZPE,71.1652,2888025,2024-10-18 23:33:39 UTC,,,
0FQ99X02WCSF79J0VGDD5B3C0A,71.1458,2888025,2024-10-18 23:34:07 UTC,,,
0FQ99XB2H77G8QPS42YG0R4QVK,71.1458,2888025,2024-10-18 23:34:43 UTC,,,
0FQ99XMHDSR7WF3ZCGPBBBX0KZ,71.1458,2888025,2024-10-18 23:35:14 UTC,,,
0FQ99Y91P5SY826QC3B1WMJAXQ,71.1652,2888025,2024-10-18 23:36:21 UTC,,,
0FQ99YMB3ZZ3Y8MBPQMXXT555R,71.1652,2888025,2024-10-18 23:36:58 UTC,,,
0FQ99YXG84YANGK9EWJM9MRW7T,71.1652,2888025,2024-10-18 23:37:28 UTC,,,
0FQ99Z81E59ZRWV667E17X4N91,71.1266,2888025,2024-10-18 23:38:03 UTC,,,
0FQ99ZHG8X26175DGN1DAHAE2C,71.1652,2888025,2024-10-18 23:38:34 UTC,,,
0FQ9A05ZVYHBPS1HK8XQHE8MMT,71.1458,2888025,2024-10-18 23:39:41 UTC,,,
0FQ9A0GZQ66SXWFA2GKVT4TFP8,71.1458,2888025,2024-10-18 23:40:17 UTC,,,
0FQ9A0TEMTAATKHJ6TMDTXYH43,71.1458,2888025,2024-10-18 23:40:48 UTC,,,
0FQ9A15ED4VTQ8VB3Q7BH63PVG,71.1458,2888025,2024-10-18 23:41:24 UTC,,,
0FQ9A1EXBW23HFXST3E5WFTRZZ,71.1266,2888025,2024-10-18 23:41:55 UTC,,,
0FQ9A23DAXKP8PYGGS2N8CKTJC,71.1458,2888025,2024-10-18 23:43:02 UTC,,,
0FQ9A2G2TFJE677YKP9AEV7485,71.1266,2888025,2024-10-18 23:43:44 UTC,,,
0FQ9A2SHKJXREJ44MHT2PMC7ZS,71.1266,2888025,2024-10-18 23:44:15 UTC,,,
0FQ9A34P8827KG1ZR477WND571,71.1266,2888025,2024-10-18 23:44:51 UTC,,,
0FQ9A40BH0NRK5NTFF9EY3SVFJ,71.0879,2888025,2024-10-18 23:46:22 UTC,,,
0FQ9A4BN0RF5B9Z9AJMMKQZ7R3,71.0687,2888025,2024-10-18 23:46:59 UTC,,,
0FQ9A4MT5SXW7WA8QCT31E6RJ4,71.03,2888025,2024-10-18 23:47:29 UTC,,,
0FQ9A4ZYV25AE0M5DMRAR5HX7P,70.9914,2888025,2024-10-18 23:48:06 UTC,,,
0FQ9A5N7AX3NM935NWTE3F8DDN,70.9335,2888025,2024-10-18 23:49:15 UTC,,,
0FQ9A60C23RMKW816CCCR2J40E,70.8949,2888025,2024-10-18 23:49:52 UTC,,,
0FQ9A69P24JCS2315FC17WRS7X,70.8756,2888025,2024-10-18 23:50:22 UTC,,,
0FQ9A6MTPYX3VA1Z8W18S4YPMN,70.8756,2888025,2024-10-18 23:50:59 UTC,,,
0FQ9A6Y9MQXR9JKKCG9C94RYTR,70.8563,2888025,2024-10-18 23:51:30 UTC,,,
0FQ9A7JS8MGNFDBBMSE7VJSFFX,70.8756,2888025,2024-10-18 23:52:37 UTC,,,
0FQ9A7Z06XAB0AV9AW154DG7FQ,70.8756,2888025,2024-10-18 23:53:17 UTC,,,
0FQ9A7Z2HPWD51WR96BV7K4HEJ,70.8756,2888025,2024-10-18 23:53:17 UTC,,,
0FQ9A8HABXM8W1DET9V915PSJY,70.8949,2888025,2024-10-18 23:54:17 UTC,,,
0FQ9A97MHG9Z9DVVJ370K7150D,70.9335,2888025,2024-10-18 23:55:30 UTC,,,
0FQ9A9JS7RX1YPK8T9VB3MCJC2,70.9528,2888025,2024-10-18 23:56:07 UTC,,,
0FQ9A9W393H9Z5K6XKS3C6FVRX,70.9528,2888025,2024-10-18 23:56:37 UTC,,,
0FQ9AA7CS209VA53966VHHA46V,70.9721,2888025,2024-10-18 23:57:14 UTC,,,
0FQ9AAGPT0WHFZ7VWGZNZHGA00,70.9721,2888025,2024-10-18 23:57:45 UTC,,,
0FQ9AATAM3YD2VCAJZGDPKGYYK,70.9528,2888025,2024-10-18 23:58:16 UTC,,,
0FQ9ABETRC677Q3ZAAPM776QTN,70.9721,2888025,2024-10-18 23:59:24 UTC,,,
0FQ9ABT4CFYW9FK9DPY2MXYABF,70.9721,2888025,2024-10-19 00:00:01 UTC,,,
0FQ9AC39HCWPFSPTRR2WRCNAFY,70.9721,2888025,2024-10-19 00:00:31 UTC,,,
0FQ9ACE97PN3XEAQBR9A8G4A4G,70.9721,2888025,2024-10-19 00:01:07 UTC,,,
0FQ9AD3CR1G1WC2YHJX71APVWZ,70.9914,2888025,2024-10-19 00:02:16 UTC,,,
0FQ9ADECH9K60JM878BN2M0XV6,71.0107,2888025,2024-10-19 00:02:52 UTC,,,
0FQ9ADQVF1ZQA5XNJPAGZ479XH,71.0107,2888025,2024-10-19 00:03:23 UTC,,,
0FQ9AE2V5BM6DM2Q2PZPWXX19C,70.9914,2888025,2024-10-19 00:03:59 UTC,,,
0FQ9AECA1P1616G789TG0XSYVX,70.9914,2888025,2024-10-19 00:04:30 UTC,,,
0FQ9AF2F18574RN668THD1Z84C,70.9914,2888025,2024-10-19 00:05:42 UTC,,,
0FQ9AFDKQ8CEDX8YT96Z42ZKYZ,70.9914,2888025,2024-10-19 00:06:19 UTC,,,
0FQ9AFPXR2G1VH12GNDYKAWM6G,71.0107,2888025,2024-10-19 00:06:49 UTC,,,
